AUDIT_KEY,SOURCE_OBJECT_KEY,BATCH_ID,ETL_RUN_DATE,LAYER_NAME,PIPELINE_RUNID,PIPELINE_TRIGGER_NAME,TRIGGERED_BY_PIPELINE,SOURCE_TABLE,TARGET_TABLE,PIPELINE_NAME,LOAD_FROM_DATETIME,LOAD_TO_DATETIME,PIPELINE_START_TIME,PIPELINE_END_TIME,TASK_DURATION_SECONDS,TARGET_ROW_COUNT,ROWS_EXTRACTED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,TOTAL_ROW_COUNT,FILE_SIZE_KB,LOAD_STATUS,ERROR_MESSAGE,PARTITION_KEY_VALUE,delta_max_value
4277,3001014,20241018230444,2024-10-18,MART,c6322f92-708c-48b2-b18e-702119ceea3f,Sandbox,null,REMITTANCE_CUBE,REMITTANCE_CUBE,pl_edp_monthly_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T23:04:55.000Z,2024-10-18T23:04:44.000Z,2024-10-18T23:06:17.000Z,92,0,0,0,0,0,0,null,SUCCESS,null,null,null
4278,3001010,20241018230444,2024-10-18,MART,c6322f92-708c-48b2-b18e-702119ceea3f,Sandbox,null,NBK_TRANS_TYPE_MONTHLY,NBK_TRANS_TYPE_MONTHLY,pl_edp_monthly_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-18T23:04:55.000Z,2024-10-18T23:04:44.000Z,2024-10-18T23:06:44.000Z,120,0,0,0,0,0,0,null,SUCCESS,null,null,null
4318,1004055,20241019124215,2024-10-19,RAW,dd9072b2-5513-4441-a27c-9532fdd08ccd,Sandbox,null,POSTMONETARYTRANSACTION_DETAILS,POSTMONETARYTRANSACTION_DETAILS,pl_edp_visionplus_db_raw_weekly_load,1990-01-01T00:00:00.000Z,2024-10-19T12:42:18.000Z,2024-10-19T12:42:15.000Z,2024-10-19T18:54:08.000Z,22313,118814081,118814081,null,null,null,null,18556335,SUCCESS,null,null,null
4324,1093006,20241019140109,2024-10-19,RAW,27602568-e9e5-4c6a-95a2-3747b985ed51,Sandbox,null,TBT_RELIGARE_HEALTH_LOGGED,TBT_RELIGARE_HEALTH_LOGGED,pl_edp_tpp_raw_load,1990-01-01T00:00:00.000Z,2024-10-19T14:01:16.000Z,2024-10-19T14:01:09.000Z,2024-10-19T14:02:55.000Z,105,690130,690130,690130,null,null,null,53361,SUCCESS,null,null,null
4355,1093006,20241019140109,2024-10-19,CURATED,fe6300f4-f590-4327-99bc-ae1ed0282e30,Sandbox,pl_edp_tpp_curated_child,TBT_RELIGARE_HEALTH_LOGGED,TBT_RELIGARE_HEALTH_LOGGED,pl_edp_tpp_curated_data_load_parent,1990-01-01T00:00:00.000Z,2024-10-19T14:01:16.000Z,2024-10-19T14:42:38.000Z,2024-10-19T15:01:45.000Z,1147,690130,690130,690130,0,0,null,null,SUCCESS,null,null,null
4357,3001024,20241019150405,2024-10-19,MART,bd47ab97-8372-4d7a-9329-a846b5fc9ab9,Sandbox,null,BEHAVDATACUBEFINL,BEHAVDATACUBEFINL,pl_edp_monthly_mart_load_parent,2024-10-19T14:09:17.000Z,2024-10-19T15:04:13.000Z,2024-10-19T15:04:05.000Z,2024-10-19T15:05:28.000Z,83,0,0,0,0,0,0,null,SUCCESS,null,null,null
4383,3001025,20241019170055,2024-10-19,MART,c0fbab1c-eee7-464c-b3fb-2b94882a5be7,Sandbox,null,DC_TRIGGERCUBE_MNTH,DC_TRIGGERCUBE_MNTH,pl_edp_monthly_mart_load_parent,2024-10-19T12:45:41.000Z,2024-10-19T17:01:05.000Z,2024-10-19T17:00:55.000Z,2024-10-19T17:03:20.000Z,145,0,0,0,0,0,0,null,SUCCESS,null,null,null
4390,3001031,20241019181106,2024-10-19,MART,e45eb0d1-b251-4c2b-86b6-363e982a23d0,bc7dc039-be37-4a4e-b229-0f57387e04aa,pl_edp_daily_mart_load_parent,WA_NFIN_TRANS,WA_NFIN_TRANS,pl_edp_daily_mart_load_parent,2024-10-19T17:44:13.000Z,2024-10-19T18:11:23.000Z,2024-10-19T18:11:06.000Z,2024-10-19T18:13:23.000Z,136,0,0,0,0,0,0,null,SUCCESS,null,null,null
4391,1004058,20241019185848,2024-10-19,RAW,71b86e35-547d-44d5-b5e5-b12a557730b1,Sandbox,null,GENERATEDTRANSACTION_DETAILS,GENERATEDTRANSACTION_DETAILS,pl_edp_visionplus_db_raw_weekly_load,1990-01-01T00:00:00.000Z,2024-10-19T18:58:55.000Z,2024-10-19T18:58:48.000Z,2024-10-20T01:10:22.000Z,22293,135882957,135882957,null,null,null,null,7741735,SUCCESS,null,null,null
4392,3001030,20241019185829,2024-10-19,MART,2d1ce5dd-861f-41ab-b37a-a66e40ec2ee7,4c27ebab-3041-471b-b1e9-3008a2b5578e,pl_edp_daily_mart_load_parent,FDDATA,FDDATA,pl_edp_daily_mart_load_parent,2024-08-15T00:00:00.000Z,2024-10-19T18:58:56.000Z,2024-10-19T18:58:29.000Z,2024-10-19T19:01:40.000Z,191,0,0,0,0,0,0,null,SUCCESS,null,null,null
